timestamp,line_num,src_id,seq,hops,rssi,latency_ms
17:13:57.560,14,3,2,0,-98,3576
17:13:58.014,20,4,80,0,-96,2030
17:13:58.422,26,3,3,0,-97,2438
17:14:00.043,32,4,81,0,-96,2059
17:14:00.871,38,3,4,0,-101,2887
17:14:01.343,44,4,82,0,-97,1359
17:14:02.226,50,3,5,0,-96,2242
17:14:10.485,70,4,84,0,-97,2501
17:14:11.341,77,3,7,0,-97,1357
17:14:13.108,83,4,85,0,-97,3124
17:14:13.362,89,3,8,0,-98,1378
17:14:14.143,95,4,86,0,-97,2159
17:14:15.771,101,4,87,0,-97,1787
17:14:16.416,107,3,9,0,-98,2432
17:14:25.070,127,3,11,0,-103,3086
17:14:25.515,133,4,89,0,-98,2531
17:14:25.831,139,3,12,0,-99,1847
17:14:27.502,145,4,90,0,-94,2518
17:14:29.117,151,4,91,0,-94,2133
17:14:30.318,157,3,13,0,-102,4334
17:14:30.899,164,3,14,0,-105,1915
17:14:39.220,184,4,93,0,-92,4236
17:14:39.431,190,4,94,0,-93,1447
17:14:40.086,196,3,16,0,-98,3102
17:14:41.781,202,3,17,0,-103,2797
17:14:42.101,208,4,95,0,-93,2116
17:14:43.742,214,4,96,0,-94,1757
17:14:44.134,220,3,18,0,-97,3150
17:14:53.150,240,3,20,0,-95,4165
17:14:54.220,246,3,21,0,-97,2236
17:14:54.934,252,4,98,0,-91,4950
17:14:55.383,258,4,99,0,-94,1398
17:14:57.259,264,3,22,0,-95,3275
17:14:57.599,270,3,23,0,-102,1614
17:14:59.107,276,4,100,0,-95,3123
17:15:06.205,294,3,25,0,-95,2220
17:15:07.533,300,4,102,0,-93,3548
17:15:08.352,306,3,26,0,-88,2367
17:15:08.602,312,4,103,0,-93,1618
17:15:09.440,318,3,27,0,-88,1455
17:15:10.118,324,4,104,0,-95,1134
17:15:13.355,330,4,105,0,-94,2370
17:15:20.804,348,3,29,0,-86,3820
17:15:21.663,354,4,107,0,-94,3678
17:15:22.296,360,3,30,0,-85,2311
17:15:23.699,366,4,108,0,-94,2714
17:15:24.014,372,3,31,0,-88,2029
17:15:24.635,378,4,109,0,-94,1650
17:15:25.936,384,3,32,0,-85,1951
17:15:33.759,404,3,34,0,-85,1774
